"","final","sprinkles","bike"
"1","Yes","Yes","Yes"
"2","Yes","Yes","Yes"
"3","No","No","Yes"
"4","No","No","Yes"
"5","Yes","No","Yes"
"6","No","Yes","No"
"7","Yes","Yes","Yes"
"8","No","Yes","No"
"9","No","Yes","Yes"
"10","No","Yes","Yes"
"11","No","Yes","Yes"
"12","No","Yes","No"
"13","Yes","Yes","Yes"
"14","No","Yes","No"
"15","Yes","Yes","No"
"16","No","No","No"
"17","No","Yes","Yes"
"18","No","No","Yes"
"19","No","No","No"
"20","No","Yes","Yes"
"21","Yes","No","Yes"
"22","No","Yes","Yes"
"23","No","No","Yes"
"24","No","Yes","Yes"
"25","Yes","Yes","Yes"
"26","Yes","No","Yes"
"27","Yes","No","Yes"
"28","No","No","Yes"
"29","Yes","Yes","Yes"
"30","No","No","Yes"
"31","Yes","Yes","No"
"32","Yes","Yes","Yes"
"33","Yes","No","No"
"34","No","Yes","Yes"
"35","No","No","Yes"
"36","No","Yes","Yes"
"37","No","No","Yes"
"38","Yes","No","Yes"
"39","Yes","No","Yes"
"40","No","No","No"
"41","No","Yes","Yes"
"42","No","Yes","Yes"
"43","No","No","Yes"
"44","No","Yes","Yes"
"45","No","No","Yes"
"46","No","Yes","Yes"
"47","Yes","No","No"
"48","No","No","Yes"
"49","No","Yes","Yes"
"50","Yes","Yes","No"
"51","No","No","Yes"
"52","No","Yes","Yes"
"53","No","No","Yes"
"54","No","No","No"
"55","Yes","No","Yes"
"56","Yes","Yes","Yes"
"57","No","No","Yes"
"58","No","Yes","Yes"
"59","No","No","Yes"
"60","No","Yes","Yes"
"61","No","Yes","Yes"
"62","No","Yes","Yes"
"63","No","Yes","Yes"
"64","Yes","No","Yes"
"65","No","Yes","Yes"
"66","No","No","Yes"
"67","No","No","Yes"
"68","No","Yes","Yes"
"69","No","No","Yes"
"70","No","Yes","No"
"71","Yes","No","Yes"
"72","Yes","Yes","No"
"73","No","No","Yes"
"74","No","No","Yes"
"75","No","No","Yes"
"76","Yes","Yes","Yes"
"77","No","No","No"
"78","No","Yes","Yes"
"79","No","Yes","No"
"80","Yes","Yes","Yes"
"81","Yes","Yes","Yes"
"82","No","No","Yes"
"83","Yes","Yes","Yes"
"84","No","No","Yes"
"85","No","Yes","No"
"86","Yes","Yes","Yes"
"87","Yes","No","No"
"88","No","Yes","Yes"
"89","Yes","No","Yes"
"90","No","Yes","Yes"
"91","No","Yes","Yes"
"92","No","Yes","Yes"
"93","No","No","Yes"
"94","No","Yes","Yes"
"95","No","No","Yes"
"96","No","Yes","No"
"97","Yes","No","Yes"
"98","No","Yes","Yes"
"99","Yes","No","No"
"100","No","Yes","No"
"101","No","No","No"
"102","No","No","Yes"
"103","No","Yes","No"
"104","No","No","No"
"105","Yes","No","No"
"106","No","No","Yes"
"107","No","Yes","No"
"108","Yes","No","Yes"
"109","Yes","Yes","Yes"
"110","No","Yes","No"
"111","No","No","Yes"
"112","No","No","No"
"113","No","Yes","Yes"
"114","No","Yes","No"
"115","Yes","Yes","Yes"
"116","Yes","No","Yes"
"117","Yes","No","Yes"
"118","No","No","Yes"
